ID,Vulnerability Name,Description,Category,Severity Level,Risk Score,Affected Models,Impact,Exploit Examples,Mitigation Strategies,Mitigation Tools,Source,Affected Deployment Environments,Detection Difficulty,Exploitation Complexity,Remediation Cost,Compliance Implications,Ethical Implications
63,Response Timing Analysis (Alternate),"Analyzing system response times to infer sensitive internal information.",Model Exploitation,Low,5.6,"GPT-3, GPT-4, PaLM, LLaMA","May leak information about internal processing or encryption.","Timing attacks similar to those on secure cryptographic implementations.","Normalize response times; add random delays to mitigate timing differences.","APM tools for detecting anomalies","MITRE ATT&CK for AI","Cloud, On-premise",Medium,High,Medium,"Could breach confidentiality standards","Potential for severe privacy impact"
64,Context Injection Attacks (Alternate),"Injecting context into multi-turn interactions can cause model misbehavior.",Data Leakage,Critical,4.3,"GPT-3, GPT-4, PaLM, LLaMA","Can lead to compromised conversation integrity.","Attacks where malicious context altered chatbot responses.","Validate and sanitize contextual data; limit context retention.","Context validation libraries and AI safety guidelines","MITRE ATT&CK for AI","Cloud, On-premise",High,Medium,Medium,"May violate data protection policies","Risk of misleading outputs"
65,Model Drift,"Gradual degradation of model performance due to evolving data patterns.",API Security,Medium,6.7,"GPT-3, GPT-4, PaLM, LLaMA","Leads to inaccurate predictions and degraded performance over time.","Models that become outdated due to changing trends.","Implement continuous model monitoring and schedule periodic retraining.","Monitoring tools like Evidently AI or SageMaker Model Monitor","NIST AI RMF","Cloud, Hybrid",Medium,Low,Medium,"Could breach service quality agreements","Ethically concerning if decisions are based on outdated data"
66,Response Manipulation (Alternate),"Manipulation of model responses can result in widespread misinformation.",Configuration Error,High,9.5,"GPT-3, GPT-4, PaLM, LLaMA","May cause intentional misinformation and unauthorized actions.","Instances where model outputs were altered for malicious purposes.","Implement output validation, including human review before public release.","Output sanitization libraries and manual review processes","MITRE ATT&CK for AI","Cloud, On-premise",High,High,High,"May breach consumer protection laws","Ethical risk due to deliberate misinformation"
67,Hidden Feedback Channels (Second Instance),"Covert channels within feedback mechanisms can be exploited to modify outputs.",Adversarial Attack,Medium,6.0,"GPT-3, GPT-4, PaLM, LLaMA","May allow subtle manipulation of model behavior over time.","Exploitation of unmonitored feedback loops.","Monitor feedback inputs and restrict access to feedback channels.","Feedback monitoring and SIEM tools","NIST AI RMF","Cloud, On-premise",Medium,Medium,Medium,"Could conflict with internal governance policies","Ethically concerning if used to manipulate outcomes"
68,Input Inference Attacks (Variant),"Techniques to infer model input details from its outputs can compromise privacy.",API Security,Critical,7.8,"GPT-3, GPT-4, PaLM, LLaMA","May expose sensitive training or input data.","Advanced inference attacks demonstrated in adversarial research.","Use differential privacy and reduce output granularity.","Privacy-preserving ML tools like TensorFlow Privacy","ISO/IEC 27001","Cloud, Hybrid",High,High,High,"May violate data privacy standards","Significant ethical concerns"
69,Hidden Feedback Channels (Revisited),"Repeated exploitation of hidden feedback to subtly alter model behavior.",Configuration Error,High,7.9,"GPT-3, GPT-4, PaLM, LLaMA","May lead to unauthorized modifications and biased outputs.","Multiple instances of hidden channel exploitation.","Enforce strict controls and auditing on all feedback loops.","Feedback auditing tools and secure logging systems","NIST AI RMF","Cloud, On-premise",High,Medium,Medium,"May breach compliance guidelines","Ethically concerning due to covert alterations"
70,Invisible Prompt Attack (Revisited),"Embedding hidden instructions within prompts that bypass normal filters.",Access Control,Low,6.0,"GPT-3, GPT-4, PaLM, LLaMA","May lead to unauthorized control over model behavior.","Demonstrated in controlled adversarial experiments.","Implement robust input filtering and hidden instruction detection.","Input validation libraries and custom filters","MITRE ATT&CK for AI","Cloud, On-premise",Medium,Medium,Medium,"May violate secure coding standards","Risk of unethical model manipulation"
71,Undetected Model Modification (Alternate),"Subtle modifications that evade detection, altering model outputs.",Privacy Violation,High,5.6,"GPT-3, GPT-4, PaLM, LLaMA","May cause persistent output inaccuracies and data leakage.","Subtle changes in a model leading to wrong outputs in sensitive domains.","Use cryptographic hash checks and secure version control systems.","Version control and checksum verification tools","OWASP LLM AI Security Guide","Cloud, On-premise",High,Medium,Medium,"May breach internal audit requirements","Potential for significant ethical concerns"
72,Context Injection Attacks (Second Instance),"Injection of malicious context into ongoing sessions to manipulate outcomes.",Privacy Violation,Medium,6.4,"GPT-3, GPT-4, PaLM, LLaMA","May alter conversation flow and expose sensitive context.","Attacks that inject adversarial context into multi-turn conversations.","Sanitize and restrict session context; use strict validation.","Context validation libraries and AI safety guidelines","ISO/IEC 27001","Cloud, On-premise",Medium,Medium,Medium,"Could violate data integrity policies","Ethically concerning due to manipulation of conversation"
73,Overshadowing Vulnerability,"Overlapping input sequences can confuse the model and produce unpredictable outputs.",Data Leakage,Medium,4.7,"GPT-3, GPT-4, PaLM, LLaMA","May lead to unpredictable or incorrect responses.","Instances where similar inputs led to conflicting outputs.","Implement input disambiguation techniques and enforce strict parsing rules.","Robust parsing algorithms and input validation libraries","ISO/IEC 27001","Cloud, Hybrid",Medium,Medium,Medium,"May breach quality standards","Risk of misleading outputs"
74,Privacy Policy Violation,"Non-adherence to established privacy policies can result in legal and ethical breaches.",Model Manipulation,Critical,6.4,"GPT-3, GPT-4, PaLM, LLaMA","May expose personal data and result in legal action.","Violations similar to regulatory actions against major tech firms.","Regularly review and update privacy policies; train staff on compliance.","Privacy compliance tools and legal consulting services","NIST AI RMF","Cloud, On-premise",High,Low,Medium,"Violates GDPR, CCPA and other privacy laws","Severe ethical implications"
75,Exposed Data During Debugging,"Debug logs or error messages leaking sensitive information during development.",Model Manipulation,Medium,4.7,"GPT-3, GPT-4, PaLM, LLaMA","May expose confidential internal data.","Incidents where debug logs revealed sensitive system details.","Disable debug logs in production and sanitize error messages.","Secure logging frameworks with production settings like Log4j","MITRE ATT&CK for AI","On-premise, Cloud",Medium,Low,Low,"May violate internal data protection policies","Risk of inadvertent data exposure"
76,Poisoned Model Updates,"Malicious updates introduced into the model update pipeline compromise behavior.",Output Manipulation,Low,8.6,"GPT-3, GPT-4, PaLM, LLaMA","May cause sudden and dangerous changes in model outputs.","Backdoored updates inserted into CI/CD pipelines.","Validate and test all model updates in isolated environments; secure update pipelines.","CI/CD tools with security scanning like Jenkins with plugins","MITRE ATT&CK for AI","Cloud, Hybrid",High,High,High,"May breach software update regulations","High risk of ethical and operational compromise"
77,Unrestricted LLM Functions (Expanded),"Broad access to non-critical functions increases potential for misuse.",Input Manipulation,Low,6.9,"GPT-3, GPT-4, PaLM, LLaMA","May allow attackers to manipulate model behavior.","Instances where excessive function access led to security issues.","Restrict functionality to essential operations and enforce sandboxing.","Secure sandbox environments like Docker containers","ISO/IEC 27001","Cloud, On-premise",Medium,Medium,Medium,"May violate internal security policies","Ethically concerning if misused"
78,Backdoor Attacks,"Insertion of covert backdoors into models allows future unauthorized access.",Model Manipulation,High,8.0,"GPT-3, GPT-4, PaLM, LLaMA","May enable persistent unauthorized control over the model.","Backdoors discovered in compromised proprietary models.","Perform rigorous security audits and use code analysis tools.","Static and dynamic code analysis tools; security audits","MITRE ATT&CK for AI","Cloud, On-premise",High,High,High,"May breach intellectual property and security regulations","High ethical and legal concerns"
79,Response Timing Analysis (Advanced),"Using advanced timing analysis to infer internal model secrets.",Data Leakage,Critical,9.7,"GPT-3, GPT-4, PaLM, LLaMA","Can lead to extraction of encryption keys or internal logic.","Highly sophisticated timing attacks demonstrated in research.","Implement randomized delays and constant-time algorithms.","APM tools and cryptographic hardening libraries","ISO/IEC 27001","Cloud, On-premise",High,High,High,"May breach confidentiality standards","Severe privacy risks"
80,Predictable Inference Time,"Consistent inference times can be exploited to infer sensitive details.",Configuration Error,Medium,9.0,"GPT-3, GPT-4, PaLM, LLaMA","May allow attackers to deduce internal states from timing patterns.","Attacks similar to those on constant-time encryption routines.","Introduce random delays and implement constant-time processing techniques.","Code analysis tools and randomization libraries","MITRE ATT&CK for AI","Cloud, On-premise",Medium,Medium,Medium,"May conflict with performance guarantees","Risk of exposing internal processing details"
81,Oversharing of Data Insights,"Excessive detail in analytic outputs can expose underlying sensitive data.",Model Manipulation,Medium,9.5,"GPT-3, GPT-4, PaLM, LLaMA","May result in re-identification or leakage of confidential data.","Incidents where detailed analytics revealed user information.","Limit data granularity and enforce data aggregation and anonymization.","Data masking tools and secure reporting platforms","NIST AI RMF","Cloud, On-premise",Medium,Medium,Medium,"May breach privacy regulations","High ethical concerns regarding user privacy"
82,Cache Poisoning (Alternate),"Injecting malicious data into caches corrupts model outputs.",Data Leakage,Low,5.8,"GPT-3, GPT-4, PaLM, LLaMA","Leads to unreliable outputs and potential data corruption.","Examples include cache poisoning in DNS and web caches.","Validate cache integrity and implement secure cache eviction policies.","Secure caching solutions like Redis with enhanced security settings","MITRE ATT&CK for AI","Cloud, On-premise",Medium,Medium,Medium,"Could violate data integrity policies","Risk of misinformation"
83,Data Retention Issues (Alternate),"Retention of unnecessary data increases risk of breaches and misuse.",Adversarial Attack,Medium,4.2,"GPT-3, GPT-4, PaLM, LLaMA","May result in exposure of outdated but sensitive data.","Breaches occurring due to legacy data retention in outdated systems.","Automate data deletion processes and enforce strict retention policies.","Data management tools like Apache Atlas","ISO/IEC 27001","Cloud, Hybrid",Medium,Medium,Medium,"May violate GDPR and data minimization principles","Risk of privacy violations"
84,Model Drift (Alternate),"Gradual performance degradation due to evolving input distributions.",Configuration Error,Critical,5.8,"GPT-3, GPT-4, PaLM, LLaMA","Leads to increased errors and decreased reliability over time.","Models becoming less effective due to changing data patterns.","Continuously monitor model performance; schedule periodic retraining.","Model monitoring tools like Evidently AI","OWASP LLM AI Security Guide","Cloud, Hybrid",Medium,Low,Medium,"May breach quality assurance standards","Ethically concerning if decisions are based on outdated data"
85,Lack of Governance (Alternate),"Insufficient oversight leads to non-compliant and biased model deployment.",Configuration Error,Medium,7.0,"GPT-3, GPT-4, PaLM, LLaMA","May introduce biases and legal risks.","Instances of ungoverned AI deployments causing systemic bias.","Establish comprehensive AI governance and regular compliance audits.","AI governance platforms like IBM OpenPages","ISO/IEC 27001","Cloud, Hybrid",High,Medium,High,"Could violate multiple legal frameworks","High ethical risks"
86,Excessive Data Collection,"Collecting more data than necessary increases exposure to breaches.",Access Control,Low,6.6,"GPT-3, GPT-4, PaLM, LLaMA","May lead to privacy breaches and regulatory fines.","Instances where companies were fined for over-collection of user data.","Implement strict data minimization practices and transparent data collection policies.","Compliance management tools like TrustArc","MITRE ATT&CK for AI","Cloud, Hybrid",Medium,Low,Medium,"May breach GDPR/CCPA","Ethically concerning regarding user privacy"
87,Backend Server Exploitation (Alternate),"Exploiting vulnerabilities in backend servers supporting LLMs.",Input Manipulation,Low,9.2,"GPT-3, GPT-4, PaLM, LLaMA","Provides attackers a foothold into the overall system.","Exploitation of unpatched vulnerabilities in backend API servers.","Regularly patch and update servers; deploy IDS and firewalls.","Security tools like Snort IDS and OSSEC","NIST AI RMF","On-premise, Cloud",High,High,High,"May breach IT security standards","High risk to overall system integrity"
88,Overfitting Exploitation (Revisited),"Memorization of training data due to overfitting leads to sensitive data leaks.",API Security,Low,6.3,"GPT-3, GPT-4, PaLM, LLaMA","May reveal private training data under specific queries.","Extracting memorized sequences from overfitted models.","Use regularization and robust training practices; validate on diverse datasets.","ML libraries with regularization like scikit-learn","ISO/IEC 27001","Cloud, Hybrid",High,Medium,Medium,"May breach intellectual property rights","Risk of unintended data exposure"
89,Context Injection Attacks (Alternate 2),"Injecting false context into user interactions alters output integrity.",Input Manipulation,High,7.0,"GPT-3, GPT-4, PaLM, LLaMA","Can lead to incorrect or malicious outputs in interactive systems.","Manipulation of chat context to alter responses in customer service bots.","Sanitize contextual data and restrict modifications in multi-turn sessions.","Context validation libraries","ISO/IEC 27001","Cloud, Web",Medium,Medium,Medium,"Could breach data integrity protocols","Ethically concerning due to misinformation"
90,Weak Protection for Sensitive Outputs (Revisited),"Inadequate output protection exposes confidential information.",Access Control,Critical,9.7,"GPT-3, GPT-4, PaLM, LLaMA","May cause exposure of sensitive information in generated outputs.","Incidents where sensitive data was inadvertently disclosed in reports.","Implement output filtering, redaction, and strict access controls.","Data masking and secure reporting systems","MITRE ATT&CK for AI","Cloud, On-premise",High,Medium,Medium,"May violate privacy regulations","High risk to sensitive data"
91,Denial of Service,"Overloading model inputs to render the system unresponsive.",Model Exploitation,Medium,8.6,"GPT-3, GPT-4, PaLM, LLaMA","Can cause service outages and disrupt operations.","DDoS attacks against AI-powered services.","Implement network traffic monitoring, rate limiting, and DDoS protection.","Services like Cloudflare DDoS Protection or AWS Shield","MITRE ATT&CK for AI","Cloud, Hybrid",Medium,Low,Medium,"May breach SLA requirements","Operational disruption concerns"
92,Sensitive Data Exfiltration,"Unauthorized extraction of sensitive data through the model.",Configuration Error,Critical,5.7,"GPT-3, GPT-4, PaLM, LLaMA","Leads to loss of confidential data and intellectual property.","Exfiltration attacks targeting sensitive data in model outputs.","Monitor for anomalous data access; implement DLP measures.","Data Loss Prevention solutions like McAfee DLP","OWASP LLM AI Security Guide","Cloud, On-premise",High,Medium,Medium,"May breach data protection laws","High ethical and legal concerns"
93,Response Manipulation (Revisited),"Subtle manipulation of model outputs for malicious purposes.",Adversarial Attack,Low,8.9,"GPT-3, GPT-4, PaLM, LLaMA","May mislead users or cause operational errors.","Instances of manipulated outputs in public-facing systems.","Validate outputs and implement robust sanitization and review processes.","Output validation libraries and manual oversight","MITRE ATT&CK for AI","Cloud, On-premise",High,Medium,Medium,"Could violate consumer protection laws","Ethically concerning if used to deceive"
94,Invisible Prompt Attack (Revisited),"Embedding hidden instructions within prompts to alter model behavior.",Model Manipulation,Medium,8.6,"GPT-3, GPT-4, PaLM, LLaMA","May lead to unintended manipulation of model outputs.","Demonstrated in adversarial testing of prompt filters.","Implement detection mechanisms for hidden content and enhance input filtering.","Input validation libraries and custom content filters","NIST AI RMF","Cloud, On-premise",High,Medium,Medium,"May breach internal security policies","Ethically concerning due to covert manipulation"
95,Cross-Tenant Attacks,"In multi-tenant environments, one tenant may access another’s data.",Data Leakage,Low,6.3,"GPT-3, GPT-4, PaLM, LLaMA","Risks data leakage and unauthorized access between tenants.","Multi-tenant data breaches due to inadequate isolation.","Enforce tenant isolation policies and use tenant-aware access controls.","Multi-tenancy frameworks and IAM solutions","MITRE ATT&CK for AI","Cloud",Medium,Medium,Medium,"May violate data segregation standards","High risk to customer data"
96,Weak Model Parameter Encryption (Revisited),"Unencrypted model parameters allow attackers to steal proprietary information.",Data Leakage,Critical,6.5,"GPT-3, GPT-4, PaLM, LLaMA","May result in intellectual property theft and misuse.","Incidents of unencrypted model parameters being extracted.","Encrypt model parameters; employ secure key management protocols.","Encryption libraries like OpenSSL or AWS KMS","MITRE ATT&CK for AI","Cloud, On-premise",High,Medium,Medium,"May breach data security regulations","High risk to proprietary assets"
97,External System Integration Risks (Alternate),"Compromised third-party integrations can introduce vulnerabilities.",Data Leakage,Critical,5.0,"GPT-3, GPT-4, PaLM, LLaMA","May provide attackers with indirect access to models.","Exploitation of vulnerable third-party integrations in supply chains.","Vet third-party components rigorously and monitor external interactions.","SIEM systems and integration monitoring tools","MITRE ATT&CK for AI","Cloud, On-premise",High,Medium,High,"May breach third-party compliance requirements","High risk to overall system trust"
98,Incorrect Model Configuration (Revisited),"Misconfigured models can expose debug information and insecure settings.",Privacy Violation,Medium,4.6,"GPT-3, GPT-4, PaLM, LLaMA","May leak internal configuration details.","Models deployed with debug mode enabled in production.","Follow secure configuration management best practices; disable debug modes.","Configuration management tools like Ansible","NIST ATT&CK for AI","Cloud, On-premise",Medium,Low,Low,"May violate internal policies","Risk of inadvertent exposure"
99,Improper Input Filtering (Revisited),"Failure to properly filter inputs may lead to code injection attacks.",Model Exploitation,Critical,9.4,"GPT-3, GPT-4, PaLM, LLaMA","Leads to severe injection vulnerabilities.","Examples of injection attacks due to unfiltered user inputs.","Implement robust input filtering using allowlists and sanitization.","Security libraries like OWASP ESAPI","NIST ATT&CK for AI","Web, Cloud",High,High,High,"May violate security standards","High ethical and operational risk"
100,Insufficient Encryption,"Use of weak encryption algorithms makes data susceptible to interception.",Configuration Error,High,9.3,"GPT-3, GPT-4, PaLM, LLaMA","Increases risk of data breaches and interception.","Historical breaches due to weak encryption protocols.","Adopt strong encryption algorithms; regularly update encryption standards.","Encryption libraries like OpenSSL with strong cipher suites","NIST ATT&CK for AI","Cloud, On-premise",High,Medium,Medium,"May breach data security regulations","High risk to confidential data"
101,Adversarial Reverse Engineering,"Systematic probing of a model to deduce its internal structure and training data.",Reverse Engineering,Critical,9.2,"GPT-3, GPT-4, PaLM, LLaMA","Risk of intellectual property theft and sensitive data exposure.","Researchers mapping model behavior through crafted queries.","Implement query rate limiting, monitor abnormal patterns, and apply output obfuscation.","Advanced monitoring solutions and differential privacy tools","NIST AI RMF","Cloud, Hybrid",High,High,High,"May breach IP protection standards","Ethically concerning due to secret extraction"
102,Biased Output Propagation (Alternate),"Unintended reinforcement of stereotypes in model outputs causing unfair decisions.",Ethical & Social,High,8.0,"GPT-3, GPT-4, PaLM, LLaMA","Damages reputation and may lead to legal actions.","Biased outputs affecting hiring or lending decisions in real scenarios.","Deploy bias detection systems and continuously audit outputs with diverse datasets.","Bias mitigation toolkits like IBM AI Fairness 360 or Fairlearn","OWASP LLM AI Security Guide","Cloud, On-premise, Web",Medium,Low,Medium,"May violate anti-discrimination laws","High ethical and social concerns"
103,Data Poisoning During Training (Alternate),"Introduction of malicious training data that skews model behavior.",Input Manipulation,Critical,9.0,"GPT-3, GPT-4, PaLM, LLaMA","Can systematically alter outputs to favor attackers.","Adversaries injecting manipulated data into training pipelines.","Employ strict data validation, track data provenance, and use robust training protocols.","Data validation tools and secure training pipelines","MITRE ATT&CK for AI","Cloud, Hybrid",High,High,High,"May breach data integrity regulations","High risk of systematic harm"
104,Interactive Feedback Exploitation (Alternate),"Abuse of interactive learning loops to gradually shift model behavior.",Adversarial Attack,High,8.4,"GPT-3, GPT-4, PaLM, LLaMA","Leads to covert model degradation over time.","Exploitation of feedback in recommendation or chat systems.","Implement safeguards in feedback channels, enforce rate limits, and conduct periodic reviews.","Feedback monitoring tools and anomaly detection systems","NIST AI RMF","Cloud, Hybrid",High,Medium,Medium,"May conflict with quality control regulations","Ethically concerning due to gradual manipulation"
105,Context Leakage via Multi-Turn Interactions (Extended),"Cumulative context in long conversations reveals sensitive historical data.",Data Leakage,High,8.7,"GPT-3, GPT-4, PaLM, LLaMA","Exposes personal and sensitive data from previous interactions.","Multi-turn chat sessions inadvertently disclosing confidential context.","Limit context retention; segment sessions and apply anonymization.","Session management systems and context-aware filters","OWASP LLM AI Security Guide","Cloud, Hybrid",High,Medium,High,"May violate data protection laws","High risk to personal privacy"
106,Supply Chain Compromise,"Compromise of external libraries or components can infiltrate the LLM environment.",Supply Chain,Critical,9.0,"GPT-3, GPT-4, PaLM, LLaMA","May introduce hidden vulnerabilities or malicious code.","Incidents where third-party libraries were compromised and exploited.","Conduct rigorous security reviews of third-party components; use integrity verification.","Code analysis tools and secure repository management","MITRE ATT&CK for AI","Cloud, On-premise",High,High,High,"May breach supply chain security standards","High risk to overall system integrity"
107,Social Engineering Assisted Exploitation,"Attackers use social engineering to gain access or influence model outputs.",Human Factor,High,7.5,"GPT-3, GPT-4, PaLM, LLaMA","Leads to unauthorized access or manipulated data inputs.","Phishing attacks that trick users into providing access credentials.","Implement strong user training and multi-factor authentication.","Security awareness programs and MFA solutions","OWASP LLM AI Security Guide","Cloud, Web",Medium,Medium,Medium,"May breach organizational security policies","Ethically concerning due to manipulation"
108,Adversarial Example Crafting,"Crafting inputs specifically to mislead the model into wrong predictions.",Adversarial Attack,High,8.8,"GPT-3, GPT-4, PaLM, LLaMA","Can result in systematically biased or incorrect outputs.","Adversarial examples used in image and text classification failures.","Integrate adversarial training and continuously update models against new attack vectors.","Adversarial training frameworks like CleverHans","MITRE ATT&CK for AI","Cloud, Hybrid",High,High,High,"May breach performance standards","High risk of manipulated outcomes"
109,Insecure Data Transmission,"Lack of encryption in data transmission exposes information to interception.",Configuration Error,High,8.0,"GPT-3, GPT-4, PaLM, LLaMA","Exposes sensitive data during transit.","Eavesdropping attacks on unencrypted API communications.","Enforce TLS/SSL encryption for all data in transit.","TLS/SSL certificate management tools","ISO/IEC 27001","Cloud, On-premise",Medium,Low,Medium,"May violate data protection regulations","High risk to confidential data"
110,Weak Cryptographic Protocols,"Use of outdated cryptographic protocols exposes data to decryption attacks.",Configuration Error,High,8.5,"GPT-3, GPT-4, PaLM, LLaMA","Risks exposure of confidential communications and stored data.","Historical breaches due to deprecated encryption standards.","Upgrade to modern, secure cryptographic protocols and ciphers.","Modern encryption libraries like OpenSSL with updated ciphers","MITRE ATT&CK for AI","Cloud, On-premise",High,Medium,Medium,"May breach regulatory standards","High risk to data security"
111,Insider Threat Exploitation,"Malicious insiders leveraging legitimate access to compromise model integrity.",Access Control,Critical,8.0,"GPT-3, GPT-4, PaLM, LLaMA","Can lead to significant internal data breaches and manipulation.","Insider cases where privileged access was abused for data theft.","Implement strict access controls, regular audits, and behavior monitoring.","IAM solutions and user behavior analytics","OWASP LLM AI Security Guide","Cloud, On-premise",High,Medium,High,"May violate internal compliance and privacy policies","High ethical and legal concerns"
112,Inadequate Audit Trails,"Insufficient logging and auditing hinder forensic analysis after incidents.",Data Leakage,Medium,7.0,"GPT-3, GPT-4, PaLM, LLaMA","May impede incident response and breach investigations.","Lack of audit logs during a significant data breach incident.","Implement comprehensive logging, audit trails, and regular log reviews.","Centralized logging platforms like Splunk or ELK Stack","ISO/IEC 27001","Cloud, On-premise",Medium,Low,Medium,"May breach compliance requirements","Risk of delayed detection and response"
113,Exposed Debug Interfaces,"Debug interfaces left accessible in production can be exploited by attackers.",Configuration Error,High,7.2,"GPT-3, GPT-4, PaLM, LLaMA","May reveal internal system details and allow unauthorized access.","Accidental exposure of debug ports in cloud deployments.","Disable or restrict access to debug interfaces in production environments.","Network access controls and firewall rules","OWASP LLM AI Security Guide","Cloud, On-premise",High,Medium,Medium,"May breach operational security standards","Risk of internal data exposure"
114,Data Aggregation Vulnerability,"Aggregation of non-sensitive data inadvertently reveals sensitive patterns.",Data Leakage,Medium,7.0,"GPT-3, GPT-4, PaLM, LLaMA","May lead to re-identification of individuals from aggregated data.","Cases where anonymized datasets were re-identified through aggregation.","Apply strict thresholding and anonymization to aggregated datasets.","Data masking and aggregation tools","ISO/IEC 27001","Cloud, Hybrid",Medium,Medium,Medium,"May violate privacy regulations","Ethically concerning due to potential re-identification"
115,Algorithmic Bias Amplification,"Feedback loops amplify existing biases in data, leading to unfair outputs.",Ethical & Social,High,8.2,"GPT-3, GPT-4, PaLM, LLaMA","May reinforce societal biases and discriminatory practices.","Incidents where biased models affected hiring decisions.","Implement bias audits and diversify training data; adjust algorithmic parameters.","Bias detection tools and fairness frameworks like Fairlearn","OWASP LLM AI Security Guide","Cloud, On-premise, Web",High,Medium,Medium,"May violate anti-discrimination laws","High ethical and social concerns"
116,Quantum Vulnerability Preparedness,"Future threats from quantum computing could break current encryption.",Configuration Error,High,9.0,"GPT-3, GPT-4, PaLM, LLaMA","Risk of future decryption of sensitive data when quantum computers mature.","Theoretical vulnerabilities in current cryptographic schemes.","Research and plan migration to quantum-resistant algorithms.","Emerging quantum-safe encryption libraries","MITRE ATT&CK for AI","Cloud, On-premise",High,High,High,"Currently not applicable but critical for future-proofing","Ethically important for long-term data security"
117,Federated Learning Poisoning,"Manipulating updates in federated learning to inject malicious behavior.",Input Manipulation,Critical,8.5,"GPT-3, GPT-4, PaLM, LLaMA","May compromise distributed model training and integrity.","Attacks on federated learning systems in mobile applications.","Implement secure aggregation protocols and robust anomaly detection.","Federated learning security frameworks and anomaly detectors","MITRE ATT&CK for AI","Cloud, Hybrid",High,High,High,"May breach data integrity and trust standards","High risk to collaborative AI systems"
118,Malicious Hyperparameter Tuning,"Attackers manipulating hyperparameters to degrade model performance.",Configuration Error,High,8.0,"GPT-3, GPT-4, PaLM, LLaMA","Can cause suboptimal model performance and increased error rates.","Incidents where tuning led to degraded model accuracy.","Establish secure, automated hyperparameter tuning with strict monitoring.","Automated ML tools with built-in security measures","OWASP LLM AI Security Guide","Cloud, Hybrid",Medium,Medium,Medium,"May affect product performance guarantees","Risk of unethical degradation"
119,Insecure Model Deployment,"Improper deployment practices lead to exposure of sensitive model artifacts.",Configuration Error,Critical,8.3,"GPT-3, GPT-4, PaLM, LLaMA","May expose proprietary model details and enable tampering.","Deployment of models with exposed administrative interfaces.","Adopt secure deployment practices and isolate model environments.","Deployment orchestration tools with security features like Kubernetes","MITRE ATT&CK for AI","Cloud, On-premise",High,Medium,Medium,"May breach intellectual property policies","High risk of proprietary data exposure"
120,Ethical Data Sourcing Violation,"Sourcing training data unethically can lead to legal and moral issues.",Ethical & Social,High,8.7,"GPT-3, GPT-4, PaLM, LLaMA","May result in models built on biased or illegally obtained data.","Incidents involving unauthorized data scraping and usage.","Implement strict data sourcing audits and ethical data collection policies.","Data provenance tools and compliance auditing platforms","OWASP LLM AI Security Guide","Cloud, Hybrid",High,Medium,Medium,"May violate copyright and data protection laws","Severe ethical and legal implications"
