ID,Risk Name,Category,Description,Impact,Mitigation Strategies,Affected Models,Severity Level,Risk Score,Source,Likelihood,Impact Severity,Governance Implications
81,Unvalidated Function Call Risk,Integrity,Risks associated with the unauthorized exposure of sensitive information via model outputs.,"Reduces the model's resilience to variations in input, increasing vulnerability.","Use model versioning, input entropy analysis, and robust model retraining techniques.","GPT-3, GPT-4, PaLM, LLaMA",High,7.3,ISO/IEC 27001,Medium,Catastrophic,Requires immediate policy update and strategic oversight.
82,Unauthorized Debug Access Risk,Adversarial Resistance,"Risks related to inadequate model explainability, affecting transparency in decision-making.","Potential for unauthorized modifications to model behavior, leading to erroneous outputs.","Apply data anonymization, secure data handling, and transparent data governance policies.","GPT-3, GPT-4, PaLM, LLaMA",Medium,9.7,NIST AI RMF,Low,Minimal,Involves cross-departmental coordination for risk reduction.
83,Model Drift Risk,Data Privacy,Data privacy risks linked to model outputs inadvertently revealing private or personal data.,"Reduces the model's resilience to variations in input, increasing vulnerability.","Employ model explainability frameworks, transparency tools, and audit logs.","GPT-3, GPT-4, PaLM, LLaMA",Medium,4.2,NIST AI RMF,Medium,Minimal,Requires immediate policy update and strategic oversight.
84,Resource Exhaustion Risk,Authorization,Governance and compliance risks due to insufficient adherence to legal or ethical guidelines.,"Exposes sensitive user data or training information, violating data protection regulations.","Develop compliance-based controls, legal reviews, and regular ethical audits.","GPT-3, GPT-4, PaLM, LLaMA",Medium,8.8,NIST AI RMF,Critical,Minimal,Requires immediate policy update and strategic oversight.
85,Integrity Violation Risk,Availability,Governance and compliance risks due to insufficient adherence to legal or ethical guidelines.,"Violations of compliance frameworks, leading to legal repercussions and fines.","Integrate adversarial testing, model retraining, and resilient model architectures.","GPT-3, GPT-4, PaLM, LLaMA",Low,6.3,MITRE ATT&CK for AI,Critical,Catastrophic,Involves cross-departmental coordination for risk reduction.
86,Hidden Prompt Spoofing Risk,Availability,"Risks related to inadequate model explainability, affecting transparency in decision-making.",Service disruption and reduced reliability of AI systems in high-stakes scenarios.,"Deploy rate limiting, resource allocation management, and system redundancy measures.","GPT-3, GPT-4, PaLM, LLaMA",High,9.4,NIST AI RMF,Low,Minimal,Needs compliance adjustments and regular audit procedures.
87,Predictive Output Corruption Risk,Authorization,Authorization risks stemming from improper access control measures around model functionality.,Service disruption and reduced reliability of AI systems in high-stakes scenarios.,"Employ model explainability frameworks, transparency tools, and audit logs.","GPT-3, GPT-4, PaLM, LLaMA",Low,9.2,ISO/IEC 27001,Medium,Minimal,Needs compliance adjustments and regular audit procedures.
88,Unclear Model Dependencies Risk,Governance and Compliance,Authentication risks related to insufficient or weak verification of model interactions.,"Potential for unauthorized modifications to model behavior, leading to erroneous outputs.","Use robust input validation, adversarial training, and regular model integrity checks.","GPT-3, GPT-4, PaLM, LLaMA",Medium,5.6,NIST AI RMF,Medium,Moderate,Involves cross-departmental coordination for risk reduction.
89,Resource Exhaustion Risk,Adversarial Resistance,Potential breaches of model integrity through malicious prompt or input manipulation.,"High likelihood of confidential data exposure, causing significant organizational damage.","Establish strict access controls, regular audits, and continuous authorization checks.","GPT-3, GPT-4, PaLM, LLaMA",Medium,6.4,ISO/IEC 27001,Critical,Moderate,Requires immediate policy update and strategic oversight.
90,Hidden Feedback Channel Risk,Availability,"Risks of adversarial attacks that aim to deceive, manipulate, or exploit model responses.","Violations of compliance frameworks, leading to legal repercussions and fines.","Develop compliance-based controls, legal reviews, and regular ethical audits.","GPT-3, GPT-4, PaLM, LLaMA",Critical,6.5,ISO/IEC 27001,Medium,Catastrophic,Involves cross-departmental coordination for risk reduction.
91,Integrity Violation Risk,Confidentiality,"Risks related to inadequate model explainability, affecting transparency in decision-making.","Reduces the model's resilience to variations in input, increasing vulnerability.","Establish strict access controls, regular audits, and continuous authorization checks.","GPT-3, GPT-4, PaLM, LLaMA",Low,4.5,ISO/IEC 27001,High,Minimal,Requires immediate policy update and strategic oversight.
92,Session Replay Risk,Model Robustness,Challenges to model availability arising from denial-of-service or resource exhaustion attacks.,"Decreases transparency in decision-making, hindering user trust and interpretability.","Apply data anonymization, secure data handling, and transparent data governance policies.","GPT-3, GPT-4, PaLM, LLaMA",Critical,7,NIST AI RMF,High,Minimal,Involves cross-departmental coordination for risk reduction.
93,Inference Data Leakage Risk,Model Robustness,Authentication risks related to insufficient or weak verification of model interactions.,"Allows for unauthorized users to access model functions, compromising system security.",Enforce multi-factor authentication and role-based access control for model endpoints.,"GPT-3, GPT-4, PaLM, LLaMA",High,7.9,MITRE ATT&CK for AI,Low,Catastrophic,Demands rapid security response and real-time monitoring.
94,Hidden Prompt Spoofing Risk,Model Robustness,Risks associated with the unauthorized exposure of sensitive information via model outputs.,"Enables attackers to deceive models, reducing trustworthiness of AI-based decisions.","Use model versioning, input entropy analysis, and robust model retraining techniques.","GPT-3, GPT-4, PaLM, LLaMA",Low,6.2,NIST AI RMF,High,Minimal,Needs compliance adjustments and regular audit procedures.
95,Exposed Model Parameter Risk,Availability,Authorization risks stemming from improper access control measures around model functionality.,"Reduces the model's resilience to variations in input, increasing vulnerability.",Enforce multi-factor authentication and role-based access control for model endpoints.,"GPT-3, GPT-4, PaLM, LLaMA",Medium,9.8,MITRE ATT&CK for AI,Critical,Moderate,Demands rapid security response and real-time monitoring.
96,Training Data Replay Risk,Confidentiality,Data privacy risks linked to model outputs inadvertently revealing private or personal data.,Service disruption and reduced reliability of AI systems in high-stakes scenarios.,"Establish strict access controls, regular audits, and continuous authorization checks.","GPT-3, GPT-4, PaLM, LLaMA",Medium,9.1,ISO/IEC 27001,High,Catastrophic,Involves cross-departmental coordination for risk reduction.
97,Prompt Context Leakage Risk,Adversarial Resistance,Authentication risks related to insufficient or weak verification of model interactions.,"Violations of compliance frameworks, leading to legal repercussions and fines.","Employ model explainability frameworks, transparency tools, and audit logs.","GPT-3, GPT-4, PaLM, LLaMA",Low,5.4,MITRE ATT&CK for AI,Medium,Moderate,Involves cross-departmental coordination for risk reduction.
98,Insufficient Encryption Risk,Model Robustness,Risks associated with the unauthorized exposure of sensitive information via model outputs.,"Improper access to model features, enabling unintended use or privilege escalation.","Use robust input validation, adversarial training, and regular model integrity checks.","GPT-3, GPT-4, PaLM, LLaMA",Medium,5.4,NIST AI RMF,Low,Moderate,Needs compliance adjustments and regular audit procedures.
99,Hidden Input Injection Risk,Confidentiality,Governance and compliance risks due to insufficient adherence to legal or ethical guidelines.,"Improper access to model features, enabling unintended use or privilege escalation.","Apply data anonymization, secure data handling, and transparent data governance policies.","GPT-3, GPT-4, PaLM, LLaMA",Low,7.6,NIST AI RMF,High,Catastrophic,Involves cross-departmental coordination for risk reduction.
100,Memory Exhaustion Risk,Authorization,Model robustness concerns associated with resistance to input variation and prompt manipulation.,Service disruption and reduced reliability of AI systems in high-stakes scenarios.,Enforce multi-factor authentication and role-based access control for model endpoints.,"GPT-3, GPT-4, PaLM, LLaMA",Medium,5.9,NIST AI RMF,Medium,Minimal,Involves cross-departmental coordination for risk reduction.
